"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Подручный сталевара электропечи (ученик)","https://ekaterinburg.hh.ru/vacancy/70402894?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Ревда (Свердловская область)","Обучение ведению технологического процесса внепечной обработки стали с целью получения требуемых параметров плавки и заданного химического состава стали.","Среднее общее образование - 11 классов.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70402894&hhtmFrom=vacancy_search_list"
"Главный специалист по информационным технологиям","https://ekaterinburg.hh.ru/vacancy/69783918?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Уфа","Поддержание работоспособности и обслуживание ИТ систем на ферме и в офисе. ИТ обеспечение производственного процесса Молочных ферм и офиса.","Исполнительность, коммуникабельность, желание работать в команде и развиваться. Знание компьютерного железа, периферийного оборудования и оргтехники на уровне эксперта.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69783918&hhtmFrom=vacancy_search_list"
"Специалист по подбору персонала (удалённо)","https://ekaterinburg.hh.ru/vacancy/69346928?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Воронеж","Реализация мероприятий по поиску и отбору кандидатов: Составление и размещение объявлений на открытые вакансии на работных сайтах, социальных сетях, внутреннем...","Высшее профессиональное образование. Опыт работы в сфере подбора персонала от 1 года. Опыт подготовки отчётов и аналитики по подбору.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69346928&hhtmFrom=vacancy_search_list"
"Инженер теплоэнергетического отдела","https://ekaterinburg.hh.ru/vacancy/69379980?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Разработка проектной и рабочей документации разделов ТС/ТМ. Участие в сборе исходных данных для проектирования, в решении технических вопросов по...","Законченное высшее образование, строительный или теплоэнергетический факультет, специальность ТГиВ, ПТ. Опыт работы в проектировании разделов ТС или ТМ.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69379980&hhtmFrom=vacancy_search_list"
"Менеджер по продажам металлопроката","https://ekaterinburg.hh.ru/vacancy/68757078?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Выполнять план продаж на вверенной территории и зарабатывать достойные деньги. Мы много и активно общаемся с клиентами по телефону и...","Успешный опыт в b2b-продажах (нефть, газ, строительный сегмент, промышленное производство, металло-трейдинг) от 3 лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68757078&hhtmFrom=vacancy_search_list"
"Специалист финансового планирования и контроля","https://ekaterinburg.hh.ru/vacancy/70154285?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Тверь","Формирование, анализ, мониторинг и контроль бюджетной деятельности в рамках проекта. Формирование бюджета, факторный анализ и контроль исполнения бюджета.","Опыт работы в финансовом планировании и бюджетировании от 3-х лет. Высшее экономическое/инженерно-экономическое образование. Владение пакетом MS Office...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70154285&hhtmFrom=vacancy_search_list"
"Специалист по закупкам","https://ekaterinburg.hh.ru/vacancy/70322909?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Красноярск","Поиск и привлечение поставщиков лома, ведение переговоров, участие в тендерах (выезды к клиентам, рассылка коммерческих предложений, согласование цен, мониторинг конкурентов). -","Высшее или средне-специальное образование. Высокие коммуникативные навыки (ведения переговоров). Способность к обучению, желание к саморазвитию. Желательно опыт работы в...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70322909&hhtmFrom=vacancy_search_list"
"Водитель автомобиля","https://ekaterinburg.hh.ru/vacancy/69323343?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Люберцы","Управление грузовым автомобилем МАЗ/КАМАЗ с КМУ.","Наличие прав категории С Е. Знание карт тахографа. Опыт работы не менее года.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69323343&hhtmFrom=vacancy_search_list"
"Техник-инженер","https://ekaterinburg.hh.ru/vacancy/69527398?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Ворсино (Калужская область)","Техническая эксплуатация, обслуживание и ремонт энергетического оборудования вспомогательных участков. Выполнение работ по инструментальному контролю систем вентиляции, ведение сопутствующей документации.","Аналогичный опыт работы техником от лет 3 лет. Высшее техническое образование. Уверенный пользователь ПК.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69527398&hhtmFrom=vacancy_search_list"
"Начальник участка","https://ekaterinburg.hh.ru/vacancy/69479785?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Полевской","Руководить организацией процесса заготовки, хранения, переработки и отгрузки лома черных и цветных металлов на участке в г. Полевской (офис головного...","Опыт работы руководителем цеха, бригады, участка, начальником отдела от 3 лет. Высшее техническое образование.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69479785&hhtmFrom=vacancy_search_list"
